Transaction ID,Store_Location,Date,Time,Customer ID,Product ID,Product Name,Quantity,Cost,Price
1001,Store A,1/06/2023,10:23:45,CUST001,PRD001,Widget - Small,2,3.5,5.99
1002,Store B,1/06/2023,11:15:21,CUST002,PRD002,Gadget - Large,1,9.99,19.99
1003,Store C,1/06/2023,12:30:10,CUST003,PRD003,Thingamajig - Medium,1,7.5,12.99
1004,Store A,2/06/2023,9:45:17,CUST004,PRD001,Widget - Small,3,3.5,5.99
1005,Store D,2/06/2023,13:20:05,CUST001,PRD004,Doohickey - Large,2,12.99,24.99
1006,Store E,2/06/2023,15:10:30,CUST005,PRD002,Gadget - Large,1,9.99,19.99
1007,Store A,3/06/2023,10:05:55,CUST002,PRD005,Widget - Medium,1,4.5,9.99
1008,Store B,3/06/2023,12:45:00,CUST006,PRD003,Thingamajig - Medium,2,7.5,12.99
1009,Store C,4/06/2023,11:30:15,CUST007,PRD001,Widget - Small,1,3.5,5.99
1010,Store D,4/06/2023,14:15:40,CUST001,PRD004,Doohickey - Large,3,12.99,24.99
1011,Store E,5/06/2023,9:20:02,CUST008,PRD006,Whatchamacallit - Small,1,5.5,8.99
1012,Store A,5/06/2023,10:45:17,CUST009,PRD002,Gadget - Large,1,9.99,19.99
1013,Store B,6/06/2023,13:30:10,CUST003,PRD003,Thingamajig - Medium,1,7.5,12.99
1014,Store C,7/06/2023,14:55:25,CUST010,PRD001,Widget - Small,4,3.5,5.99
1015,Store D,8/06/2023,9:10:35,CUST002,PRD004,Doohickey - Large,2,12.99,24.99
1016,Store E,8/06/2023,11:25:40,CUST001,PRD002,Gadget - Large,1,9.99,19.99
1017,Store A,9/06/2023,12:50:15,CUST011,PRD007,Widget - Extra Large,3,6.5,14.99
1018,Store B,10/06/2023,15:30:20,CUST006,PRD003,Thingamajig - Medium,1,7.5,12.99
1019,Store C,11/06/2023,10:05:55,CUST012,PRD001,Widget - Small,2,3.5,5.99
1020,Store D,11/06/2023,11:45:00,CUST013,PRD008,Doohickey - Small,1,8.5,14.99
... (remaining rows),,,,,,,,,
